canonical_name,address_road,cnt,phone,lat_fixed,lng_fixed
(주) 동승 JW메리어트 동대문 스퀘어 서울,서울특별시 종로구 청계천로 279 (종로6가),2,,,
(주)서울렉스호텔,서울특별시 중구 퇴계로10길 23 (회현동1가),2,,,
(주)아주호텔서교,서울특별시 마포구 양화로 130 (서교동),2,,,
(주)조선호텔앤리조트,서울특별시 중구 소공로 106 (소공동),2,,,
1996 종로인,"서울특별시 종로구 종로14길 19, 예지빌딩 3층 (관철동)",2,,,
247 HOSTEL SEOUL,"서울특별시 종로구 종로54길 32, 3~4층 (창신동)",2,,,
Alveolus(앨비어러스),서울특별시 마포구 희우정로16길 31 (망원동),2,,,
HELLO HOSTEL,"서울특별시 종로구 돈화문로 5-5, 한남빌딩 4,6층 (관수동)",2,,,
HI STAY JONGNO,"서울특별시 종로구 삼일대로17길 17, 3층 (관철동)",2,,,
Hostel STAY NOW,서울특별시 종로구 삼일대로32가길 38 (익선동),2,,,
ICON,서울특별시 종로구 삼일대로32가길 20 (익선동),2,,,
ICOS,서울특별시 마포구 고산3길 15 (노고산동),2,,,
JONGRO ALICE,서울특별시 종로구 삼일대로32길 46 (익선동),2,,,
MOK HOSTEL,"서울특별시 중구 명동4길 35, 5,6층 (명동2가)",2,,,
NEO SEOUL,서울특별시 마포구 동교로 142-13 (서교동),2,,,
SOUNDS INN GWANGHWAMUN,"서울특별시 종로구 새문안로9길 25, 3층 (당주동)",2,,,
THE EXTAY LOUNGE,"서울특별시 종로구 수표로 91, 다비치타워 4~7층 (관수동)",2,,,
U-STAY HOSTEL,"서울특별시 종로구 지봉로 24-12, 5층 (숭인동)",2,,,
VERANDA11,"서울특별시 종로구 숭인동길 1-3, 4층 (숭인동)",2,,,
고유리(Goyu;re),"서울특별시 종로구 종로36나길 10-1, 4층 (종로5가)",2,,,
골든(Golden) 신촌홍대점,"서울특별시 마포구 서강로20길 11, 2층 (노고산동)",2,,,
글루호텔,"서울특별시 종로구 율곡로 228, glue hotel (이화동)",2,,,
나애집,"서울특별시 종로구 삼일대로 391, 6층 (관철동)",2,,,
나인트리 바이 파르나스 서울 동대문,서울특별시 중구 을지로 224 (을지로5가),2,,,
나인트리 바이 파르나스 서울 인사동,서울특별시 종로구 인사동길 49 (관훈동),2,,,
남산파크호텔,서울특별시 중구 회현동2가 72-8번지,2,,,
노마드 스테이 인 홍대,"서울특별시 서대문구 명물길 6, 6-7층 (창천동)",2,,,
노보텔 앰배서더 서울 동대문 레지던스,서울특별시 중구 을지로 238 (을지로6가),2,,,
노보텔 앰배서더 서울 동대문 호텔,서울특별시 중구 을지로 238 (을지로6가),2,,,
노블관광호텔,서울특별시 종로구 율곡로6길 13-3 (운니동),2,,,
