property_entity_id,entity_name,representative_address,district,cluster_area,lat,lng,master_count,ota_source,raw_listing_name,raw_listing_url,checkin_date,price_total_krw,rating,review_count,room_type,refundable_yn,breakfast_yn,availability_status,note
11,호텔 더 디자이너스 홍대,서울특별시 마포구 양화로 86 (서교동),마포구,홍대권,37.551903,126.914687,2,agoda,Hotel The Designers Hongdae,https://www.agoda.com/hotel-the-designers-hongdae/hotel/seoul-kr.html,2026-05-01,457992.0,7.1,7750,Standard Double,Y,N,available,
19,나비호스텔,서울특별시 마포구 양화로 177-1 (동교동),마포구,홍대권,37.557985,126.921837,2,agoda,Nabi Hostel,https://www.agoda.com/nabi-hostel/hotel/seoul-kr.html,2026-05-01,0.0,8.9,6395,-,-,-,sold_out,
24,라이즈호텔,서울특별시 마포구 양화로 130 (서교동),마포구,홍대권,37.554432,126.918361,2,agoda,"RYSE, Autograph Collection",https://www.agoda.com/ryse-autograph-collection/hotel/seoul-kr.html,2026-05-01,1815000.0,9.1,6991,Producer Suite,Y,N,available,
25,클레오,서울특별시 마포구 연희로 27 (동교동),마포구,홍대권,37.561389,126.923764,2,,,,,,,,,,,,
35,비아르떼,"서울특별시 마포구 신촌로4길 10, 2층 (동교동)",마포구,홍대권,37.557497,126.925462,2,,,,,,,,,,,,
36,슬로우온 호스텔,"서울특별시 마포구 양화로 118, 5층 (서교동)",마포구,홍대권,37.553825,126.917327,2,,,,,,,,,,,,
37,더 센트럴 홍대,"서울특별시 마포구 양화로 124, 3층 (서교동)",마포구,홍대권,37.554279,126.91797,2,,,,,,,,,,,,
38,코코스테이,"서울특별시 마포구 신촌로12나길 32, 2층 (노고산동)",마포구,홍대권,37.554854,126.931371,2,,,,,,,,,,,,
39,비아르떼 서울,"서울특별시 마포구 신촌로4길 5-5, 1층 (동교동)",마포구,홍대권,37.557624,126.925964,2,,,,,,,,,,,,
40,골든(Golden) 신촌홍대점,"서울특별시 마포구 서강로20길 11, 2층 (노고산동)",마포구,홍대권,37.553921,126.933627,2,,,,,,,,,,,,
41,로프트13,"서울특별시 마포구 서강로 132, BS타워 13층 (노고산동)",마포구,홍대권,37.553863,126.932548,2,,,,,,,,,,,,
42,스테이플랜비,"서울특별시 마포구 서강로 133, 신촌병우빌딩 5,7층 (노고산동)",마포구,홍대권,37.55441,126.932363,2,,,,,,,,,,,,
43,더집서울,"서울특별시 마포구 서강로 132, BS타워 4,7층 (노고산동)",마포구,홍대권,37.553863,126.932548,2,,,,,,,,,,,,
44,신촌스테이,"서울특별시 마포구 서강로 135, JK빌딩 2층 (노고산동)",마포구,홍대권,37.55451,126.932533,2,,,,,,,,,,,,
48,홍대 온기,"서울특별시 마포구 양화로 118, 4층 (서교동)",마포구,홍대권,37.553825,126.917327,2,,,,,,,,,,,,
49,룩앤스테이,"서울특별시 마포구 월드컵북로2길 19, 8층 (동교동)",마포구,홍대권,37.556354,126.919036,2,,,,,,,,,,,,
363,신촌라싸 관광호텔,서울특별시 서대문구 연세로2가길 3 (창천동),서대문구,홍대권,37.556109,126.934421,2,,,,,,,,,,,,
375,노마드 스테이 인 홍대,"서울특별시 서대문구 명물길 6, 6-7층 (창천동)",서대문구,홍대권,37.557311,126.934507,2,,,,,,,,,,,,
377,루프서울 연희점,"서울특별시 서대문구 동교로 294 (연희동, 루프서울 연희점)",서대문구,홍대권,37.565029,126.924846,2,,,,,,,,,,,,
