id,canonical_name,property_type_std,district_normalized,district,cluster_area,address_road,lat,lng,status_std,room_count,entity_id,hongdae_zone,phone,license_date,property_type_raw,raw_status,raw_status_detail,raw_x,raw_y,source_priority,name_eng,floors_above,floors_below,building_area
1,(주)서울가든,hotel,마포구,마포구,,"서울특별시 마포구 마포대로 58 (도화동, 가든호텔)",37.540695,126.94547,active,372.0,1,,02-717-9441,1979-08-02,관광호텔업,영업/정상,영업중,195366.504486477,448716.823596557,seoul_open_data,SEOUL GARDEN Corp.,15.0,2.0,26310.01
2,서서울관광호텔,unknown,마포구,마포구,,서울특별시 마포구 합정동 381-17번지,,,closed,0.0,2,,332-1122,1999-07-26,관광숙박업,폐업,폐업,,,seoul_open_data,,0.0,0.0,
3,호텔야자,hotel,마포구,마포구,홍대권,"서울특별시 마포구 잔다리로 67 (서교동, 유양관광호텔)",37.553602,126.913979,closed,42.0,3,fringe_hongdae,3143-4595,2001-05-11,관광호텔업,폐업,폐업,192584.698023412,450151.420026822,seoul_open_data,HOTEL YAJA,5.0,1.0,1504.56
4,(주)아주호텔서교,hotel,마포구,마포구,홍대권,서울특별시 마포구 양화로 130 (서교동),37.554432,126.918361,closed,135.0,4,hongdae_area,330-7777,2004-04-13,관광호텔업,폐업,폐업,192971.947727746,450243.232547428,seoul_open_data,"Aju Hotel Seokyo Co., LTD.",0.0,0.0,
5,써클호텔,hotel,마포구,마포구,,"서울특별시 마포구 양화로 15 (합정동, 호텔써클)",37.548856,126.907867,active,40.0,5,,338-0018,2005-07-14,관광호텔업,영업/정상,영업중,192044.052062349,449625.190175398,seoul_open_data,CIRCLE HOTEL,9.0,3.0,1504.56
6,(주)호텔롯데 롯데시티 호텔마포,hotel,마포구,마포구,,"서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)",37.544931,126.947706,active,284.0,6,,02-6009-1000,2009-03-09,관광호텔업,영업/정상,영업중,195564.375757848,449186.933273231,seoul_open_data,"HOTEL LOTTE CO., LTD. LOTTE CITY HOTEL MAPO",8.0,2.0,25713.7
7,스탠포드호텔코리아(주) 스탠포드호텔서울,hotel,마포구,마포구,,"서울특별시 마포구 월드컵북로58길 15 (상암동, 스탠포드호텔코리아)",37.582325,126.883774,active,239.0,7,,6016-0001,2011-10-11,관광호텔업,영업/정상,영업중,189919.550051873,453342.222208599,seoul_open_data,STANFORD HOTEL SEOUL,12.0,5.0,26278.31
8,까사빌 신촌 서울,hotel,마포구,마포구,홍대권,서울특별시 마포구 서강로 137 (노고산동),37.554624,126.932681,closed,183.0,8,hongdae_area,6220-4000,2012-03-08,가족호텔업,폐업,폐업,194237.345664459,450263.50766141,seoul_open_data,CasaVille Shinchon Seoul,14.0,0.0,4123.05
9,더 엠 호텔,hotel,마포구,마포구,,서울특별시 마포구 월드컵북로 120 (성산동),37.563993,126.910552,closed,56.0,9,,336-0001,2012-10-18,가족호텔업,폐업,폐업,192282.955607289,451304.996932629,seoul_open_data,THE M HOTEL,10.0,2.0,3043.28
10,메리골드호텔,hotel,마포구,마포구,홍대권,서울특별시 마포구 양화로 112 (서교동),37.553312,126.916859,closed,186.0,10,hongdae_area,332-5656,2013-02-05,관광호텔업,폐업,폐업,192839.116937246,450119.061832193,seoul_open_data,MARIGOLD HOTEL,10.0,4.0,14252.1
11,호텔 더 디자이너스 홍대,hotel,마포구,마포구,홍대권,서울특별시 마포구 양화로 86 (서교동),37.551903,126.914687,active,80.0,11,fringe_hongdae,326-5801,2013-02-05,관광호텔업,영업/정상,영업중,192647.075671686,449962.851191072,seoul_open_data,HOTEL THE DESIGNERS HONGDAE,15.0,3.0,3868.0
12,필로소퍼,hostel,마포구,마포구,홍대권,"서울특별시 마포구 동교로 217, 홍대LJ빌딩 2층~4층 (동교동)",37.5595,126.920634,active,17.0,12,core_hongdae,,2014-10-30,호스텔업,영업/정상,영업중,193173.291498782,450805.577656258,seoul_open_data,PILLOWSOPHER,4.0,1.0,377.33
13,더휴식 아늑 홍대점,hotel,마포구,마포구,홍대권,서울특별시 마포구 동교로 162-7 (서교동),37.555547,126.91747,active,38.0,13,hongdae_area,332-2333,2014-12-10,관광호텔업,영업/정상,영업중,192893.333078404,450367.063858996,seoul_open_data,Hotel The Ore,9.0,3.0,1255.7
14,신라스테이 마포,hotel,마포구,마포구,,서울특별시 마포구 마포대로 83 (도화동),37.542874,126.946808,active,383.0,14,,69799000,2015-08-26,관광호텔업,영업/정상,영업중,195484.919869451,448958.582313523,seoul_open_data,Shiila Stay Mapo,24.0,4.0,18470.19
15,Alveolus(앨비어러스),hostel,마포구,마포구,,서울특별시 마포구 희우정로16길 31 (망원동),37.554705,126.900744,closed,1.0,15,,,2016-05-27,호스텔업,폐업,폐업,191415.339342271,450275.024623503,seoul_open_data,Alveolus,1.0,1.0,72.56
16,아만티 호텔 서울,hotel,마포구,마포구,홍대권,서울특별시 마포구 월드컵북로 31 (서교동),37.557196,126.915698,active,150.0,16,hongdae_area,02-332-0061,2016-06-07,관광호텔업,영업/정상,영업중,192736.935397287,450550.232656274,seoul_open_data,Amanti Hotel Seoul,14.0,5.0,18410.72
17,NEO SEOUL,hostel,마포구,마포구,홍대권,서울특별시 마포구 동교로 142-13 (서교동),37.55463,126.915247,closed,18.0,17,hongdae_area,02  323 9220,2016-09-06,호스텔업,폐업,폐업,192696.777446115,450265.462973201,seoul_open_data,NEO SEOUL,3.0,1.0,654.2
18,케이호스텔,hostel,마포구,마포구,,서울특별시 마포구 서강로 19 (신정동),37.545199,126.927054,closed,27.0,18,,02-715-6000,2016-09-06,호스텔업,폐업,폐업,193739.315165771,449217.82970806,seoul_open_data,K Hostel,12.0,2.0,976.4
19,나비호스텔,hostel,마포구,마포구,홍대권,서울특별시 마포구 양화로 177-1 (동교동),37.557985,126.921837,active,27.0,19,core_hongdae,02  363 3941,2016-10-17,호스텔업,영업/정상,영업중,193279.38663668,450637.276776739,seoul_open_data,Nabi Hostel,10.0,1.0,992.59
